序号	分类目	昆虫名称	共生体分类属	共生体名称	功能
RISB1006	Coleoptera	Monochamus alternatus	Pseudomonas	Pseudomonas	may help M. alternatus degrade cellulose and pinene
RISB1007	Coleoptera	Monochamus alternatus	Raoultella	Raoultella	may help M. alternatus degrade cellulose and pinene
RISB1008	Coleoptera	Monochamus alternatus	Serratia	Serratia	may help M. alternatus degrade cellulose and pinene
RISB1009	Coleoptera	Donacia bicoloricornis	Candidatus Macropleicola	Candidatus Macropleicola muticae	Amino acid and B vitamin supplementation, plant biomass digestion
RISB1010	Coleoptera	Donacia cincticornis	Candidatus Macropleicola	Candidatus Macropleicola muticae	Amino acid and B vitamin supplementation, plant biomass digestion
RISB1011	Coleoptera	Donacia cinerea	Candidatus Macropleicola	Candidatus Macropleicola muticae	Amino acid and B vitamin supplementation, plant biomass digestion
RISB1012	Coleoptera	Donacia clavipes	Candidatus Macropleicola	Candidatus Macropleicola muticae	Amino acid and B vitamin supplementation, plant biomass digestion
RISB1013	Coleoptera	Donacia crassipes	Candidatus Macropleicola	Candidatus Macropleicola muticae	Amino acid and B vitamin supplementation, plant biomass digestion
RISB1014	Coleoptera	Donacia dentata	Candidatus Macropleicola	Candidatus Macropleicola muticae	Amino acid and B vitamin supplementation, plant biomass digestion
RISB1015	Coleoptera	Donacia fulgens	Candidatus Macropleicola	Candidatus Macropleicola muticae	Amino acid and B vitamin supplementation, plant biomass digestion
RISB1016	Coleoptera	Donacia marginata	Candidatus Macropleicola	Candidatus Macropleicola muticae	Amino acid and B vitamin supplementation, plant biomass digestion
RISB1017	Coleoptera	Donacia piscatrix	Candidatus Macropleicola	Candidatus Macropleicola muticae	Amino acid and B vitamin supplementation, plant biomass digestion
RISB1018	Coleoptera	Donacia provostii	Candidatus Macropleicola	Candidatus Macropleicola muticae	Amino acid and B vitamin supplementation, plant biomass digestion
RISB1019	Coleoptera	Donacia proxima	Candidatus Macropleicola	Candidatus Macropleicola muticae	Amino acid and B vitamin supplementation, plant biomass digestion
RISB1020	Coleoptera	Donacia semicuprea	Candidatus Macropleicola	Candidatus Macropleicola muticae	Amino acid and B vitamin supplementation, plant biomass digestion
RISB1021	Coleoptera	Donacia simplex	Candidatus Macropleicola	Candidatus Macropleicola muticae	Amino acid and B vitamin supplementation, plant biomass digestion
RISB1022	Coleoptera	Donacia sparganii	Candidatus Macropleicola	Candidatus Macropleicola muticae	Amino acid and B vitamin supplementation, plant biomass digestion
RISB1023	Coleoptera	Donacia thalassina	Candidatus Macropleicola	Candidatus Macropleicola muticae	Amino acid and B vitamin supplementation, plant biomass digestion
RISB1024	Coleoptera	Donacia tomentosa	Candidatus Macropleicola	Candidatus Macropleicola muticae	Amino acid and B vitamin supplementation, plant biomass digestion
RISB1025	Coleoptera	Donacia versicolorea	Candidatus Macropleicola	Candidatus Macropleicola muticae	Amino acid and B vitamin supplementation, plant biomass digestion
RISB1026	Coleoptera	Donacia vulgaris	Candidatus Macropleicola	Candidatus Macropleicola muticae	Amino acid and B vitamin supplementation, plant biomass digestion
RISB1027	Coleoptera	Macroplea appendiculata	Candidatus Macropleicola	Candidatus Macropleicola muticae	Amino acid and B vitamin supplementation, plant biomass digestion
RISB1028	Coleoptera	Macroplea mutica	Candidatus Macropleicola	Candidatus Macropleicola muticae	Amino acid and B vitamin supplementation, plant biomass digestion
RISB1029	Coleoptera	Neohaemonia nigricornis	Candidatus Macropleicola	Candidatus Macropleicola muticae	Amino acid and B vitamin supplementation, plant biomass digestion
RISB1030	Coleoptera	Plateumaris braccata	Candidatus Macropleicola	Candidatus Macropleicola muticae	Amino acid and B vitamin supplementation, plant biomass digestion
RISB1031	Coleoptera	Plateumaris consimilis	Candidatus Macropleicola	Candidatus Macropleicola muticae	Amino acid and B vitamin supplementation, plant biomass digestion
RISB1032	Coleoptera	Plateumaris pusilla	Candidatus Macropleicola	Candidatus Macropleicola muticae	Amino acid and B vitamin supplementation, plant biomass digestion
RISB1033	Coleoptera	Plateumaris rustica	Candidatus Macropleicola	Candidatus Macropleicola muticae	Amino acid and B vitamin supplementation, plant biomass digestion
RISB1034	Coleoptera	Plateumaris sericea	Candidatus Macropleicola	Candidatus Macropleicola muticae	Amino acid and B vitamin supplementation, plant biomass digestion
RISB1035	Diptera	Bactrocera oleae	Erwinia	Candidatus Erwinia dacicola	the symbiont may contribute to larval survival in unripe olives
RISB1036	Coleoptera	Nosodendridae	None	Flavobacteriales	None
RISB1037	Lepidoptera	Galleria mellonella	Aspergillus	Aspergillus flavus	biodegradation of Polyethylene
RISB1038	Hemiptera	Riptortus pedestris	Caballeronia	Burkholderia insecticola	triggers midgut closure in the bean bug Riptortus pedestris to prevent secondary bacterial infections of midgut crypts
RISB1039	Hemiptera	Acyrthosiphon pisum	Buchnera	Buchnera aphidicola	metabolic constraints or antisense transcripts may reduce Buchnera-mediated production of pantothenate, resulting in poor aphid performance on pantothenate-free diets
RISB1040	Lepidoptera	Bombyx mori	Bacillus	Bacillus aryabhattai	cellulolytic activity
RISB1041	Lepidoptera	Zeuzera pyrina	Bacillus	Bacillus subtilis BC1	activity of alkaliphilic cellulase with exo/endoglucanase activity and organic solvent, temperature and pH stability
RISB1042	Lepidoptera	Spodoptera litura	None	gut bacteria	gut microbes may be essential for improving the efficiency of food utilization in S. litura
RISB1043	Lepidoptera	Spodoptera litura	None	gut bacteria	may be essential for improving the efficiency of food utilization in S. litura
RISB1044	Diptera	Icosta americana	None	bacteria	None
RISB1045	Lepidoptera	Homona magnanima	Wolbachia	Wolbachia	partial strain male killing
RISB1046	Hemiptera	Halyomorpha halys	Pantoea	Pantoea carbekii	provides its host with essential nutrients, vitamins, cofactors and protection of the most vulnerable stages of early development (1st nymphal stages). Pantoea carbekii is highly stress tolerant, especially once secreted to cover the eggs, by its unique biofilm-formation properties, securing host offspring survival
RISB1047	Hemiptera	Aphis gossypii	Arsenophonus	Arsenophonus sp.	secondary symbiont reduction led to reduction of the total life span and intrinsic rate of natural increase as well as appearance of the deformed dead offspring. H. defensa and Arsenophonus contributed to the fitness of A. gossypii by enhancing its performance, but not through parasitoid resistance.
RISB1048	Hemiptera	Aphis gossypii	Arsenophonus	Arsenophonus sp.	symbiont reduction led to reduction of the total life span and intrinsic rate of natural increase as well as appearance of the deformed dead offspring
RISB1049	Hemiptera	Aphis gossypii	Candidatus Hamiltonella	Hamiltonella defensa	secondary symbiont reduction led to reduction of the total life span and intrinsic rate of natural increase as well as appearance of the deformed dead offspring. H. defensa and Arsenophonus contributed to the fitness of A. gossypii by enhancing its performance, but not through parasitoid resistance.
RISB1050	Hemiptera	Aphis gossypii	Candidatus Hamiltonella	Candidatus Hamiltonella defensa	symbiont reduction led to reduction of the total life span and intrinsic rate of natural increase as well as appearance of the deformed dead offspring
RISB1051	Coleoptera	Leptinotarsa decemlineata	Enterobacter	Enterobacter BC-8	symbiotic bacteria suppressed plant defenses such as hydrogen peroxide and phenolic compounds accumulation and activity of peroxidases and trypsin inhibitors
RISB1052	Diptera	Bactrocera dorsalis	Klebsiella	Klebsiella michiganensis BD177	K. michiganensis BD177 has the strain-specific ability to provide three essential amino acids (phenylalanine, tryptophan and methionine) and two vitamins B (folate and riboflavin) to B. dorsalis
RISB1053	Hemiptera	Diaphorina citri	Candidatus Profftella	Profftella	have the genes involved in the biosynthesis of diaphorin, hemolysin, riboflavin, biotin, and carotenoids
RISB1054	Blattodea	termites	None	termite gut microbiom	None
RISB1055	Coleoptera	Ips	None	gut microbiota	None
RISB1056	Coleoptera	Oryctes rhinoceros	Bacillus	Bacillus cereus ATCC 14579	provide symbiotic digestive functions to Oryctes
RISB1057	Coleoptera	Oryctes rhinoceros	Bacillus	Bacillus proteolyticus MCCC 1ANoneNone365	gut microbe
RISB1058	Coleoptera	Oryctes rhinoceros	Bacillus	Bacillus toyonensis BCT-7112	gut microbe
RISB1059	Coleoptera	Oryctes rhinoceros	Candida	Candida tropicalis ATCC 75None	gut microbe
RISB1060	Coleoptera	Oryctes rhinoceros	Citrobacter	Citrobacter koseri LMG 5519	associated with insect digestive tracts
RISB1061	Coleoptera	Oryctes rhinoceros	Comamonas	Comamonas nitrativorans 2331None	gut microbe
RISB1062	Coleoptera	Oryctes rhinoceros	Diaphorobacter	Diaphorobacter aerolatus 86None4S-37 like	gut microbe
RISB1063	Coleoptera	Oryctes rhinoceros	Klebsiella	Klebsiella pneuomoniae DSM 3None1None4	gut microbe
RISB1064	Coleoptera	Oryctes rhinoceros	Kluyvera	Kluyvera georgiana ATCC 516None3	gut microbe
RISB1065	Coleoptera	Oryctes rhinoceros	Lactococcus	Lactococcus lactis NBRC 1NoneNone933	gut microbe
RISB1066	Coleoptera	Oryctes rhinoceros	Lysinibacillus	Lysinibacillus fusiformis NBRC 15717	gut microbe
RISB1067	Coleoptera	Oryctes rhinoceros	None	Enterobacteriaceae	produce cellulases under certain conditions
RISB1068	Coleoptera	Oryctes rhinoceros	Pseudomonas	Pseudomonas citronellolis NBRC 1None3None43	gut microbe
RISB1069	Coleoptera	Oryctes rhinoceros	Spathaspora	Candida xylanilytica KU-Xn11T	extracellular cellulase production
RISB1070	Coleoptera	Oryctes rhinoceros	Staphylococcus	Staphylococcus epidermidis NBRC 1NoneNone911	gut microbe
RISB1071	Coleoptera	Oryctes rhinoceros	Staphylococcus	Staphylococcus hominis GTC 1228	gut microbe
RISB1072	Coleoptera	Oryctes rhinoceros	Streptomyces	Streptomyces costaricanus NBRC 1NoneNone773  or S. murinus NBRC 148None2	gut microbe
RISB1073	Coleoptera	Oryctes rhinoceros	Trichoderma	T richoderma virens DAOM 164916	gut microbe
RISB1074	Coleoptera	Xyleborinus saxesenii	Streptomyces	Streptomyces griseus XylebKG-1	Cycloheximide is produced, which inhibits the growth of parasitic fungi Nectria spp. and protects mutualistic fungi Raffaelea spp.
RISB1075	Hymenoptera	Camponotus japonicus	None	gut bacteria	None
RISB1076	Diptera	Mayetiola destructor	Wolbachia	Wolbachia	None
RISB1077	Hemiptera	Diaphorina citri	Candidatus Profftella	Candidatus Liberibacter asiaticus	CLas exposure altered the abundance of proteins involved in immunity and cellular and oxidative stress in a sex-dependent manner. Also, Clas impacted cuticular proteins and enzymes involved in chitin degradation, as well as energy metabolism and abundance of the endosymbiont 'Candidatus Profftella armatura' in both sexes similarly
RISB1078	Coleoptera	Copris incertus Say	None	gut bacteria	None
RISB1079	Blattodea	Odontotermes formosanus	None	gut bacteria	None
RISB1080	Lepidoptera	Pieris canidia	None	gut bacteria	None
RISB1081	Lepidoptera	Spodoptera exigua	Enterococcus	Enterococcus	protect the host against pathogens and noncommensal microbes from outside
RISB1082	Lepidoptera	Spodoptera exigua	None	gut bacteria	None
RISB1083	Hemiptera	Yamatotettix flavovittatus	Wolbachia	Wolbachia	Wolbachia-infected lineages had prolonged immature development periods and female longevity
RISB1084	Diptera	Hermetia illucens	Arthrobacter	Arthrobacter AK19	Arthrobacter AK19 doubled the growth rate of larvae and increased the waste conversion by 25-30%
RISB1085	Hemiptera	Bemisia tabaci	Candidatus Hamiltonella	Hamiltonella	None
RISB1086	Hemiptera	Rhodnius prolixus	Dickeya	Dickeya	supply enzymatic biosynthesis of B-complex vitamins
RISB1087	Hemiptera	Rhodnius prolixus	Rhodococcus	Rhodococcus rhodnii	supply enzymatic biosynthesis of B-complex vitamins
RISB1088	Hemiptera	Rhodnius prolixus	None	gut bacteria	supply enzymatic biosynthesis of B-complex vitamins
RISB1089	Coleoptera	Euwallacea perbrevis	Fusarium	Fusarium rekanum sp. Nov	None
RISB1090	Hemiptera	Aleurocanthus spiniferus	Wolbachia	Wolbachia	None
RISB1091	Diptera	Bactrocera tryoni	Pichia	Pichia	yeast is known to release nutritional components from the fruit substrate by producing extracellular enzymes and this may make nutrients further accessible to the larvae
RISB1092	Coleoptera	Dendroctonus valens	Ophiostoma	Ophiostoma sp.	None
RISB1093	Coleoptera	Xyleborus affinis	Ophiostoma	Ophiostoma ips	suppress decomposition of pine sapwood by competing with wood-decay fungi
RISB1094	Coleoptera	Ambrosiodmus minor	Ophiostoma	Ophiostoma ips	suppress decomposition of pine sapwood by competing with wood-decay fungi
RISB1095	Coleoptera	Xyleborus pubescens	Ophiostoma	Ophiostoma ips	suppress decomposition of pine sapwood by competing with wood-decay fungi
RISB1096	Coleoptera	Xyleborus affinis	Raffaelea	Raffaelea fusca	suppress decomposition of pine sapwood by competing with wood-decay fungi
RISB1097	Coleoptera	Ambrosiodmus minor	Raffaelea	Raffaelea fusca	suppress decomposition of pine sapwood by competing with wood-decay fungi
RISB1098	Coleoptera	Xyleborus pubescens	Raffaelea	Raffaelea fusca	suppress decomposition of pine sapwood by competing with wood-decay fungi
RISB1099	Diptera	Lycoriella ingenua	Agaricus	Agaricus bisporus	Repelling egg laying
RISB1100	Lepidoptera	Agrotis ipsilon	Aspergillus	Aspergillus parasiticus	induced higher defense responses in plants
RISB1101	Lepidoptera	Agrotis ipsilon	Aspergillus	Aspergillus niger	induced higher defense responses in plants
RISB1102	Lepidoptera	Agrotis ipsilon	Fusarium	Fusarium subglutinans	induced higher defense responses in plants
RISB1103	Lepidoptera	Agrotis ipsilon	Fusarium	Fusarium lusitanicus	induced higher defense responses in plants
RISB1104	Lepidoptera	Agrotis ipsilon	Geotrichum	Geotrichum candidum	induced higher defense responses in plants
RISB1105	Lepidoptera	Agrotis ipsilon	Mucor	Mucor circinelloides	induced higher defense responses in plants
RISB1106	Hemiptera	Sogatella furcifera	Alternaria	Alternaria alternata	None
RISB1107	Hemiptera	Sogatella furcifera	Alternaria	Alternaria alternata	None
RISB1108	Hemiptera	Sogatella furcifera	Cladosporium	Cladosporium halotolerans	None
RISB1109	Hemiptera	Sogatella furcifera	Fusarium	Fusarium	None
RISB1110	Hemiptera	Sogatella furcifera	Naganishia	Naganishia albida	None
RISB1111	Hemiptera	Sogatella furcifera	Periconia	Periconia macrospinosa	None
RISB1112	Hymenoptera	Sirex noctilio	Amylostereum	Amylostereum areolatum	The fungus digests lignin in the host pine, providing essential nutrients for the growing woodwasp larvae
RISB1113	Hemiptera	Acyrthosiphon pisum	Candidatus Regiella	Candidatus Regiella insecticola strain Tut	None
RISB1114	Hemiptera	Pentalonia nigronervosa	Buchnera	Buchnera aphidicola	None
RISB1115	Hemiptera	Pentalonia nigronervosa	Wolbachia	Wolbachia	None
RISB1116	Hymenoptera	Sirex noctilio	Amylostereum	Amylostereum areolatum	provide S. noctilio with a suitable environment and with nutrients for the larval growth
RISB1117	Coleoptera	Leptinotarsa decemlineata	None	gut bacteria	None
RISB1118	Lepidoptera	Spodoptera frugiperda	Acinetobacter	Acinetobacter soli	degradation of flubendiamide and chlorantraniliprole
