Insect Species	Order	Family	Subfamily	Genus	Common Name	Description	Figure Source	Genome ID	Genome Level	BUSCO
Grapholita molesta	Lepidoptera	Tortricidae	Olethreutinae	Grapholita	None	Grapholita molesta, the oriental fruit moth or peach moth, is a moth of the family Tortricidae. It is native to China, but was introduced to Japan and North America and is now also found throughout of Europe, Asia  and South America and in  Hawaii, Morocco, Mauritius, South Africa, Australia and New Zealand	Wikipedia	None	None	None
Graphosoma Lineatum	Hemiptera	Pentatomidae	Podopinae	Graphosoma	None	Description is currently not available	Wikipedia	None	None	None
Graptostethus servus	Hemiptera	Lygaeidae	Lygaeidae	Graptostethus	None	Graptostethus servus is a species of seed bug in the family Lygaeidae. It is found in Europe, Asia, Australia, and in the Pacific region. Larvae are grey and are prey items for chickens.	Wikipedia	None	None	None
Greenisca brachypodii	Hemiptera	Eriococcidae	None	Greenisca	None	Description is currently not available	Wikipedia	None	None	None
Habrobracon hebetor	Hymenoptera	Braconidae	Braconinae	Habrobracon	None	Habrobracon hebetor is a minute wasp of the family Braconidae that is an ectoparasitoid of several species of moth caterpillars. Well known hosts include the larval stage of Plodia interpunctella, the Indianmeal moth, the late larval stage of the Mediterranean flour moth and the almond moth, and the dried fruit moth . This parasitoid has been used commercially as a way to control pests without using chemical insecticides.	Wikipedia	None	None	None
Halyomorpha halys	Hemiptera	Pentatomidae	Pentatominae	Halyomorpha	brown marmorated stink bug	Halyomorpha halys is an insect in the family Pentatomidae, native to China, Japan, Korea and other Asian regions.In September 1998 it was collected in Allentown, Pennsylvania, where it is believed to have been accidentally introduced. The nymphs and adults of the brown marmorated stink bug feed on over 100 species of plants, including many agricultural crops, and by 2010–11 had become a season-long pest in orchards in the Eastern United States.	Judy Gallagher@BY	GCA_000696795.2	Scaffold	C:97.7%[S:96.3%,D:1.4%],F:0.8%,M:1.5%,n:1367
Harmonia axyridis	Coleoptera	Coccinellidae	Coccinellinae	Harmonia	harlequin, multicolored Asian, or Asian ladybeetle,Halloween ladybeetle	Harmonia axyridis is a large coccinellid beetle. This is one of the most variable species in the world, with an exceptionally wide range of color forms.It is native to eastern Asia, but has been artificially introduced to North America and Europe to control aphids and scale insects. It is now common, well known, and spreading in those regions, and has also established in Africa and widely across South America.	michaelmacc@BY-NC	None	Chromosome	C:90.4%[S:88.4%,D:2.0%],F:1.5%,M:8.1%,n:1367
Harpalus pensylvanicus	Coleoptera	Carabidae	Harpalinae	Harpalus	None	Harpalus pensylvanicus is a species of ground beetle in the subfamily Harpalinae. It is found throughout North America. It was described by Degeer in 1774.	Wikipedia	None	None	None
Harpalus sinicus	Coleoptera	Carabidae	Harpalinae	Harpalus	None	Harpalus sinicus is a species of ground beetle in the subfamily Harpalinae. It was described by Frederick William Hope in 1845.	Sunnetchan@CC BY-NC-ND	None	None	None
Heliconius erato	Lepidoptera	Nymphalidae	Heliconiinae	Heliconius	red postman,small postman, the red passion flower butterfly, or the crimson-patched longwing	Heliconius erato is one of about 40 neotropical species of butterfly belonging to the genus Heliconius.  It was described by Carl Linnaeus in his 1758 10th edition of Systema Naturae.H. erato exhibits Müllerian mimicry with other Heliconius butterflies such as Heliconius melpomene in order to warn common predators against attacking, which contributes to its surprising longevity. It also has a unique mating ritual involving the transfer of anti-aphrodisiacs from males to females.	Kathy Detweiler@BY-NC	None	Chromosome	C:84.7%[S:83.4%,D:1.3%],F:4.3%,M:11.0%,n:1367
Heliconius sp.	Lepidoptera	Nymphalidae	Heliconiinae	Heliconius	None	Description is currently not available	Wikipedia	None	None	None
Helicoverpa armigera	Lepidoptera	Noctuidae	Heliothinae	Helicoverpa	cotton bollworm, corn earworm, or Old World (African) bollworm	Helicoverpa armigera is a moth, the larvae of which feed on a wide range of plants, including many important cultivated crops. It is a major pest in cotton and one of the most polyphagous and cosmopolitan pest species.	Сергей Миляхин@BY-NC	GCA_002156985.1	Scaffold	C:97.5%[S:97.1%,D:0.4%],F:1.2%,M:1.3%,n:1367
Helicoverpa zea	Lepidoptera	Noctuidae	Heliothinae	Helicoverpa	corn earworm	Helicoverpa zea is a species (formerly in the genus Heliothis) in the family Noctuidae.The larva of the moth Helicoverpa zea is a major agricultural pest. Since it is polyphagous (feeds on many different plants) during the larval stage, the species has been given many different common names, including the cotton bollworm and the tomato fruitworm. It also consumes a wide variety of other crops.	willem9@BY-NC	GCA_002150865.1	Scaffold	C:96.5%[S:95.5%,D:1.0%],F:1.2%,M:2.3%,n:1367
Hemideina maori	Orthoptera	Anostostomatidae	Deinacridinae	Hemideina	None	Hemideina maori, also known as the mountain stone wētā, is a wētā of the family Anostostomatidae. They are a large, flightless, nocturnal orthopteran endemic to New Zealand. Mountain stone wētā are long lived and are found on many central mountain ranges in New Zealand's South Island.	Wikipedia	None	None	None
Henosepilachna vigintioctopunctata	Coleoptera	Coccinellidae	Epilachninae	Henosepilachna	None	Henosepilachna vigintioctopunctata is  a species of beetle in the family Coccinellidae. It is commonly known as the 28-spotted potato ladybird or the Hadda beetle. It feeds on the foliage of potatoes and other solanaceous crops. It was previously called Epilachna vigintioctopunctata and is a cryptic species complex. It is very often confused with a closely related species, Henosepilachna vigintioctomaculata, which occurs in Russia, China, Japan, and Korea, and is given the same "common name".	Wikipedia	None	None	None
Hermetia illucens	Diptera	Stratiomyidae	Hermetiinae	Hermetia	black soldier fly	Hermetia illucens is a common and widespread fly of the family Stratiomyidae.	Geoffrey Cox@BY-NC	GCA_905115235.1	Chromosome	C:98.3%[S:98.0%,D:0.3%],F:0.4%,M:1.3%,n:1367
Heterapoderopsis bicallosicollis	Coleoptera	Attelabidae	None	Heterapoderopsis	None	Description is currently not available	Wikipedia	None	None	None
Heterelmis comalensis	Coleoptera	Elmidae	Elminae	Heterelmis	None	Heterelmis comalensis is a rare species of beetle known by the common name Comal Springs riffle beetle. It is endemic to Texas in the United States, where it occurs in only two springs. It is a federally listed endangered species of the United States.	Wikipedia	None	None	None
Hierodula patellifera	Mantodea	Mantidae	Hierodulinae	Hierodula	None	Hierodula patellifera, commonly known as giant Asian mantis, Asian mantis, Indochina mantis and Harabiro Mantis, is a species of praying mantis in the family Mantidae. They are found in Malaysia, Hawaii, India, Nepal, Italy , Indonesia , Korean Peninsula, Philippines, New Guinea, southern China, Taiwan, Vietnam, and Japan . H. patellifera lives in trees and in grasslands at the edges of forests.	Wikipedia	None	None	None
Hishimonoides sellatiformis	Hemiptera	Cicadellidae	Deltocephalinae	Hishimonoides	None	Description is currently not available	Wikipedia	None	None	None
Hishimonus sellatus	Hemiptera	Cicadellidae	Deltocephalinae	Hishimonus	None	Description is currently not available	Wikipedia	None	None	None
Homalodisca vitripennis	Hemiptera	Cicadellidae	Cicadellinae	Homalodisca	glassy-winged sharpshooter	Homalodisca vitripennis is a large leafhopper insect from the family Cicadellidae, similar to other species of sharpshooter.	Cheryl Harleston López Espino@BY-NC-ND	None	Scaffold	C:88.0%[S:87.3%,D:0.7%],F:6.7%,M:5.3%,n:1367
Homalotylus sp.	Hymenoptera	Encyrtidae	Encyrtinae	Homalotylus	None	Description is currently not available	Wikipedia	None	None	None
Homoeocerus dilatatus	Hemiptera	Coreidae	None	Homoeocerus	None	Description is currently not available	Wikipedia	None	None	None
Homoeocerus marginiventris	Hemiptera	Coreidae	None	Homoeocerus	None	Description is currently not available	Wikipedia	None	None	None
Homoeocerus unipunctatus	Hemiptera	Coreidae	None	Homoeocerus	None	Description is currently not available	Wikipedia	None	None	None
Homona magnanima	Lepidoptera	Tortricidae	Tortricinae	Homona	None	Homona magnanima, the Oriental tea tortrix moth, is a species of moth of the family Tortricidae. It is found in Japan, Taiwan, China and Vietnam.	Wikipedia	None	None	None
Hoplothrips carpathicus	Thysanoptera	Phlaeothripidae	Phlaeothripinae	Hoplothrips	None	Description is currently not available	Wikipedia	None	None	None
Horridipamera inconspicua	Hemiptera	Rhyparochromidae	None	Horridipamera	None	Description is currently not available	Wikipedia	None	None	None
Horridipamera nietneri	Hemiptera	Rhyparochromidae	None	Horridipamera	None	Horridipamera nietneri is a species of dirt-colored seed bug in the family Rhyparochromidae, found in Indomalaya.	Wikipedia	None	None	None
Hyalesthes obsoletus	Hemiptera	Cixiidae	None	Hyalesthes	None	Hyalesthes obsoleta is a planthopper species in the genus Hyalesthes.	Wikipedia	None	None	None
Hygia lativentris	Hemiptera	Coreidae	None	Hygia	None	Description is currently not available	Wikipedia	None	None	None
Hygia opaca	Hemiptera	Coreidae	None	Hygia	None	Description is currently not available	Wikipedia	None	None	None
Hyles euphorbiae	Lepidoptera	Pyralidae	Galleriinae	Hyles	None	Hyles euphorbiae, the spurge hawk-moth, is a European moth of the family Sphingidae. It has been found in  Pontresina, Switzerland  above sea level). This hawk moth is used as an agent of biological pest control against the noxious weed leafy spurge , but usually only in conjunction with other agents. The larvae consume the leaves and bracts of the plant. The species was first described by Carl Linnaeus in his 1758 10th edition of Systema Naturae.	Wikipedia	None	None	None
Hylobius abietis	Coleoptera	Curculionidae	Molytinae	Hylobius	None	Hylobius abietis  or the large pine weevil is a beetle belonging to family Curculionidae.  This species is widely regarded as the most important pest of most commercially important coniferous trees in European plantations. Seedlings planted or arising from natural regeneration  after clear felling operations are especially at risk. The adult weevils cause damage by eating the bark of seedlings around the 'collar' of the stem, thus 'ring-barking' the tree seedling which usually results in its demise.	Wikipedia	None	None	None
Hypera postica	Coleoptera	Bostrichidae	Lyctinae	Hypera	None	Rhynchaenus postica Gyllenhal, 1813	Wikipedia	None	None	None
Hyphantria cunea	Lepidoptera	Erebidae	Arctiinae	Hyphantria	fall webworm	Hyphantria cunea is a moth in the family Erebidae known principally for its larval stage, which creates the characteristic webbed nests on the tree limbs of a wide variety of hardwoods in the late summer and fall. It is considered a pest but although unsightly, does not harm otherwise healthy trees. It is well known to commercial tree services and arboriculturists.	David Kaposi@BY-NC	GCA_003709505.1	Scaffold	C:97.6%[S:96.9%,D:0.7%],F:0.7%,M:1.7%,n:1367
Hypolimnas bolina	Lepidoptera	Nymphalidae	Nymphalinae	Hypolimnas	None	Eight, see text	Wikipedia	None	None	None
Hypothenemus hampei	Coleoptera	Curculionidae	Scolytinae	Hypothenemus	coffee borer beetle or coffee berry borer	Hypothenemus hampei is a small beetle native to Africa. It is among the most harmful pests to coffee crops across the world where coffee is cultivated.Spanish common names of the insect include barrenador del café, gorgojo del café, and broca del café.	L. Shyamal@BY-SA	GCA_013372445.1	Scaffold	C:95.2%[S:90.8%,D:4.4%],F:2.7%,M:2.1%,n:1367
Ibalia leucospoides	Hymenoptera	Ibaliidae	None	Ibalia	None	Ibalia leucospoides, the knife-shaped ibalia, is a species of ibaliid wasp in the family Ibaliidae.	Wikipedia	None	None	None
Icerya aegyptiaca	Hemiptera	Monophlebidae	None	Icerya	None	Description is currently not available	Wikipedia	None	None	None
Icosta americana	Diptera	Hippoboscidae	Ornithomyinae	Icosta	None	Description is currently not available	Wikipedia	None	None	None
Ips paraconfusus	Coleoptera	Curculionidae	Scolytinae	Ips	None	Ips paraconfusus, the California fivespined ips, is a species of typical bark beetle in the family Curculionidae. It is found in North America.	Wikipedia	None	None	None
Ips pini	Coleoptera	Curculionidae	Scolytinae	Ips	None	Ips pini, also known as the pine engraver or North American pine engraver, is a species of typical bark beetle in the family Curculionidae found primarily in North America. These beetles are subcategorized by the distinctive geographic ranges in which they are found. A key distinguishing feature of different populations is how they produce the enantiomeric composition of ipsdienol, the major pheromone produced by males of this species.	Tom Murray@CC BY-NC	None	None	None
Ips sp.	Coleoptera	Curculionidae	Scolytinae	Ips	None	Description is currently not available	Wikipedia	None	None	None
