序号	记录类型	分类目	分类科	分类亚科	昆虫名称	共生体分类门	共生体分类目	共生体分类属	共生体分类级别	共生体分类阶元	共生体名称	种类	功能	功能标签	共生体序列数据	参考文献	doi号	期刊	出版年份	备注
187	Symbiont	Hemiptera	Alydidae	None	Riptortus pedestris	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia	Bacteria	this bacterial enrichment played a significant role in enhancing insect host reproduction	Nutrient provision,Growth and Development,Fertility	OR856010-OR856012	The plant-sucking insect selects assembly of the gut microbiota from environment to enhance host reproduction	10.1038/s41522-024-00539-z	npj Biofilms and Microbiomes	2024	None
188	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Bemisia tabaci	Pseudomonadota	Rickettsiales	Rickettsia	Genus	Rickettsia	Rickettsia	Bacteria	Rickettsia plays an essential role in energy metabolism, and nutrient synthesis in the B. tabaci MEAM1, and depends on metabolites obtained from the host to ensure its survival	Nutrient provision	None	Transcriptome data reveal beneficial effects of Rickettsia (Rickettsiales: Rickettsiaceae) on Bemisia tabaci(Hemiptera: Aleyrodidae) through nutritional factors and defense mechanisms	10.1093/jee/toae066	Journal of Economic Entomology	2024	None
189	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila suzukii	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	Wolbachia positively affected female fecundity and offspring mass after a diet shift	Fertility,Growth and Development	None	Wolbachia improves the performance of an invasive fly after a diet shift	10.1007/s10340-023-01739-w	JOURNAL OF PEST SCIENCE	2024	None
190	Symbiont	Hymenoptera	Aphelinidae	Coccophaginae	Encarsia formosa	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	Wolbachia's parthenogenesis-induction feminization factor (piff) gene modulates sex determination in Encarsia formosa by regulating doublesex (dsx) expression. When Wolbachia is removed, female-specific dsx decreases while male-specific dsx increases, resulting in haploid male offspring	Reproductive manipulation	None	Wolbachia symbionts control sex in a parasitoid wasp using a horizontally acquired gene	10.1016/j.cub.2024.04.035	CURRENT BIOLOGY	2024	None
191	Symbiont	Hymenoptera	Trichogrammatidae	None	Trichogramma pretiosum	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	Wolbachia titers are relate to sex determination of host	Reproductive manipulation	None	Wolbachia titers are relate to sex determination of Trichogramma pretiosum	10.1007/s10340-023-01727-0	JOURNAL OF PEST SCIENCE	2024	None
192	Symbiont	Diptera	Stratiomyidae	Hermetiinae	Hermetia illucens	Pseudomonadota	Enterobacterales	Citrobacter	Genus	Citrobacter	Citrobacter amalonaticus	Bacteria	can directly promote the expression of two gene families related to intestinal protein metabolism: Hitryp serine protease trypsin family and Himtp metallopeptidase family	Digestive enzymes	None	A gut commensal bacterium promotes black soldier fly larval growth and development partly via modulation of intestinal protein metabolism	10.1128/mbio.01174-23	MBIO	2023	None
193	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Recilia dorsalis	Pseudomonadota	Enterobacterales	Klebsiella	Genus	Klebsiella	Klebsiella electrica	Bacteria	nitrogen-fixing bacterium, R. electrica has all the nitrogen fixation genes and colonizes the gut lumen of leafhoppers	Nitrogen fixation	CP119531	A Novel Nitrogen-Fixing Bacterium Raoultella electrica Isolated from the Midgut of the Leafhopper Recilia dorsalis	10.3390/insects14050431	Insects	2023	None
194	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Myzus persicae	Pseudomonadota	Legionellales	Rickettsiella	Genus	Rickettsiella	Rickettsiella	Bacteria	reduced aphid fecundity, decreased heat tolerance, and modified aphid body color, from light to dark green	Fertility,Pigmentation alteration	on Figshare at doi:https://10.26188/22541608	A rapidly spreading deleterious aphid endosymbiont that uses horizontal as well as vertical transmission	10.1073/pnas.2217278120	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2023	None
195	Metagenome	Lepidoptera	Pyralidae	Galleriinae	Spodoptera littoralis	None	None	None	None	None	gut bacteria	Bacteria	None	None	SRX13243668-SRX13243683	A soil fungus confers plant resistance against a phytophagous insect by disrupting the symbiotic role of its gut microbiota	10.1073/pnas.2216922120	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2023	被土壤真菌 Trichoderma afroharzianum寄生的番茄饲养导致Spodoptera littoralis 肠道微生物群变化，对 Spodoptera littoralis 的发育和生存产生负面影响
196	Symbiont	Hemiptera	Cicadidae	Cicadettinae	Karenia caelatata	Bacteroidota	Flavobacteriales	Candidatus Karelsulcia	Genus	Candidatus Sulcia	Candidatus Sulcia muelleri	Bacteria	None	None	OQ167977-OQ167978	A Study on Symbiotic Systems of Cicadas Provides New Insights into Distribution of Microbial Symbionts and Improves Fluorescence In Situ Hybridization Technique	10.3390/ijms24032434	INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES	2023	None
197	Symbiont	Hemiptera	Cicadidae	Cicadinae	Tanna sp.	Bacteroidota	Flavobacteriales	Candidatus Karelsulcia	Genus	Candidatus Sulcia	Candidatus Sulcia muelleri	Bacteria	None	None	OQ222170-OQ222171	A Study on Symbiotic Systems of Cicadas Provides New Insights into Distribution of Microbial Symbionts and Improves Fluorescence In Situ Hybridization Technique	10.3390/ijms24032434	INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES	2023	None
198	Amplicon	Diptera	Stratiomyidae	Hermetiinae	Hermetia illucens	None	None	None	None	None	microbiome	Bacteria	the microbiota modulates its host expression profile during ontogeny which suggests that the microbiota is essential to BSFL’s normal development.	Growth and Development	SRX14421488-SRX14421520	Absence of microbiome triggers extensive changes in the transcriptional profile of Hermetia illucens during larval ontology	10.1038/s41598-023-29658-x	SCIENTIFIC REPORTS	2023	None
199	Symbiont	Hymenoptera	Formicidae	Myrmicinae	Trachymyrmex	Actinomycetota	Pseudonocardiales	Amycolatopsis	Genus	Amycolatopsis	Amycolatopsis	Bacteria	produce antibiotic EC0-0501 that has strong activity against ant-associated Actinobacteria and may also play a role in bacterial competition in this niche	Antimicrobials	None	Amycolatopsis from Desert Specialist Fungus-Growing Ants Suppresses Contaminant Fungi Using the Antibiotic ECO-0501	10.1128/aem.01838-22	Applied and Environmental Microbiology	2023	None
200	Symbiont	Orthoptera	Anostostomatidae	Deinacridinae	Locusta migratoria	Ascomycota	Hypocreales	Metarhizium	Genus	Metarhizium	Metarhizium anisopliae	Fungi	produces the volatile compound phenylethyl alcohol (PEA) that causes behavioral avoidance in locusts, upregulate expression of LmOBP1 negatively affects the insect immune responses to ultimately benefit successful mycosis by the pathogen	Immune priming,Chemical biosynthesis	None	An odorant binding protein is involved in counteracting detection-avoidance and Toll-pathway innate immunity	10.1016/j.jare.2022.08.013	JOURNAL OF ADVANCED RESEARCH	2023	None
201	Symbiont	Hemiptera	Dinidoridae	None	Aspongopus chinensis	Ascomycota	Eurotiales	Penicillium	Genus	Penicillium	Penicillium chrysogenum	Fungi	this strain could generate antibacterial secondary metabolites, which could potently inhibit gram-positive bacteria growth in vitro	Antimicrobials	None	Antibacterial metabolites from the beetle-associated fungus Penicillium chrysogenum	10.1590/0001-3765202320220178	Anais da Academia Brasileira de Ciências	2023	None
202	Symbiont	Hemiptera	Aphididae	Aphidinae	Aphis gossypii	Pseudomonadota	Enterobacterales	Arsenophonus	Genus	Arsenophonus	Arsenophonus	Bacteria	Arsenophonus ameliorated growth performance of A. gossypii on an amino acid-deficient diet	Nutrient provision	None	Arsenophonus Interacts with Buchnera to Improve Growth Performance of Aphids under Amino Acid Stress	10.1128/spectrum.01792-23	MICROBIOLOGY SPECTRUM	2023	None
203	Symbiont	Diptera	Chironomidae	Orthocladiinae	Belgica antarctica	Pseudomonadota	Enterobacterales	Serratia	Genus	Serratia	Serratia plymuthica	Bacteria	None	None	None	Bacteria Associated with the Antarctic Endemic Insect Belgica antarctica Jacobs (Diptera Chironomidae)	10.3103/S0095452723030064	CYTOLOGY AND GENETICS	2023	None
204	Symbiont	Diptera	Chironomidae	Orthocladiinae	Belgica antarctica	Pseudomonadota	Enterobacterales	Serratia	Genus	Serratia	Serratia fonticola	Bacteria	None	None	None	Bacteria Associated with the Antarctic Endemic Insect Belgica antarctica Jacobs (Diptera Chironomidae)	10.3103/S0095452723030064	CYTOLOGY AND GENETICS	2023	None
205	Amplicon	Diptera	Stratiomyidae	Hermetiinae	Hermetia illucens	None	None	None	None	None	gut bacteria	Bacteria	None	None	SRR13847053-SRR13847175	Bacterial biota composition in gut regions of black soldier fly larvae reared on industrial residual streams: revealing community dynamics along its intestinal tract	10.3389/fmicb.2023.1276187	FRONTIERS IN MICROBIOLOGY	2023	None
206	Symbiont	Hemiptera	Cicadellidae	Deltocephalinae	Colladonus geminatus	Bacteroidota	Flavobacteriales	Candidatus Karelsulcia	Genus	Candidatus Karelsulcia	Candidatus Sulcia	Bacteria	produce essential amino acids lacking in the leafhoppers' phloem sap diet	Nutrient provision	None	Bacterial Endosymbionts Identified From Leafhopper (Hemiptera: Cicadellidae) Vectors of Phytoplasmas	10.1093/ee/nvad015	ENVIRONMENTAL ENTOMOLOGY	2023	None
207	Symbiont	Hemiptera	Cicadellidae	Deltocephalinae	Colladonus montanus reductus	Bacteroidota	Flavobacteriales	Candidatus Karelsulcia	Genus	Candidatus Karelsulcia	Candidatus Sulcia	Bacteria	produce essential amino acids lacking in the leafhoppers' phloem sap diet	Nutrient provision	None	Bacterial Endosymbionts Identified From Leafhopper (Hemiptera: Cicadellidae) Vectors of Phytoplasmas	10.1093/ee/nvad015	ENVIRONMENTAL ENTOMOLOGY	2023	None
208	Symbiont	Hemiptera	Cicadellidae	Deltocephalinae	Circulifer tenellus	Bacteroidota	Flavobacteriales	Candidatus Karelsulcia	Genus	Candidatus Karelsulcia	Candidatus Sulcia	Bacteria	produce essential amino acids lacking in the leafhoppers' phloem sap diet	Nutrient provision	None	Bacterial Endosymbionts Identified From Leafhopper (Hemiptera: Cicadellidae) Vectors of Phytoplasmas	10.1093/ee/nvad015	ENVIRONMENTAL ENTOMOLOGY	2023	None
209	Symbiont	Hemiptera	Cicadellidae	Deltocephalinae	Euscelidius variegatus	Bacteroidota	Flavobacteriales	Candidatus Karelsulcia	Genus	Candidatus Karelsulcia	Candidatus Sulcia	Bacteria	produce essential amino acids lacking in the leafhoppers' phloem sap diet	Nutrient provision	None	Bacterial Endosymbionts Identified From Leafhopper (Hemiptera: Cicadellidae) Vectors of Phytoplasmas	10.1093/ee/nvad015	ENVIRONMENTAL ENTOMOLOGY	2023	None
210	Symbiont	Hemiptera	Cicadellidae	Deltocephalinae	Colladonus geminatus	Pseudomonadota	None	Candidatus Nasuia	Genus	Candidatus Nasuia	Candidatus Nasuia	Bacteria	produce essential amino acids lacking in the leafhoppers' phloem sap diet	Nutrient provision	None	Bacterial Endosymbionts Identified From Leafhopper (Hemiptera: Cicadellidae) Vectors of Phytoplasmas	10.1093/ee/nvad015	ENVIRONMENTAL ENTOMOLOGY	2023	None
211	Symbiont	Hemiptera	Cicadellidae	Deltocephalinae	Colladonus montanus reductus	Pseudomonadota	None	Candidatus Nasuia	Genus	Candidatus Nasuia	Candidatus Nasuia	Bacteria	produce essential amino acids lacking in the leafhoppers' phloem sap diet	Nutrient provision	None	Bacterial Endosymbionts Identified From Leafhopper (Hemiptera: Cicadellidae) Vectors of Phytoplasmas	10.1093/ee/nvad015	ENVIRONMENTAL ENTOMOLOGY	2023	None
212	Symbiont	Hemiptera	Cicadellidae	Deltocephalinae	Circulifer tenellus	Pseudomonadota	None	Candidatus Nasuia	Genus	Candidatus Nasuia	Candidatus Nasuia	Bacteria	produce essential amino acids lacking in the leafhoppers' phloem sap diet	Nutrient provision	None	Bacterial Endosymbionts Identified From Leafhopper (Hemiptera: Cicadellidae) Vectors of Phytoplasmas	10.1093/ee/nvad015	ENVIRONMENTAL ENTOMOLOGY	2023	None
213	Symbiont	Hemiptera	Cicadellidae	Deltocephalinae	Euscelidius variegatus	Pseudomonadota	None	Candidatus Nasuia	Genus	Candidatus Nasuia	Candidatus Nasuia	Bacteria	produce essential amino acids lacking in the leafhoppers' phloem sap diet	Nutrient provision	None	Bacterial Endosymbionts Identified From Leafhopper (Hemiptera: Cicadellidae) Vectors of Phytoplasmas	10.1093/ee/nvad015	ENVIRONMENTAL ENTOMOLOGY	2023	None
214	Symbiont	Hemiptera	Cicadellidae	Deltocephalinae	Euscelidius variegatus	Pseudomonadota	None	Candidatus Yamatotia	Genus	Candidatus Yamatotia	Candidatus Yamatotia cicadellidicola	Bacteria	None	None	None	Bacterial Endosymbionts Identified From Leafhopper (Hemiptera: Cicadellidae) Vectors of Phytoplasmas	10.1093/ee/nvad015	ENVIRONMENTAL ENTOMOLOGY	2023	None
215	Symbiont	Hemiptera	Cicadellidae	Deltocephalinae	Circulifer tenellus	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	Wolbachia may increase this insect's ability to tolerate or acquire the pathogen Candidatus Phytoplasma trifolii	Pathogen interaction	None	Bacterial Endosymbionts Identified From Leafhopper (Hemiptera: Cicadellidae) Vectors of Phytoplasmas	10.1093/ee/nvad015	ENVIRONMENTAL ENTOMOLOGY	2023	None
216	Symbiont	Coleoptera	Bostrichidae	Lyctinae	Xyleborus affinis	Ascomycota	Hypocreales	Beauveria	Genus	Beauveria	Beauveria bassiana	Fungi	B. bassiana has the insecticidal activity  on X. affinis adult females and their progeny	Fertility	None	Biocontrol of Xyleborus affinis (Curculionidae: Scolitinae) Females and Progeny by Beauveria bassiana (Hypocreales: Cordycipitaceae) in a Sawdust Artificial Diet Model	10.3390/insects14050477	Insects	2023	None
217	Symbiont	Hymenoptera	Apidae	Xylocopinae	Xylocopa appendiculata	Pseudomonadota	Lysobacterales	Xanthomonas	Genus	Xanthomonas	Xanthomonas sp. HY-74	Bacteria	strains biodegraded polyethylene terephthalate PET powder, broke it into its degradation products	Plastic degradation	None	Biodegradation Potential of Polyethylene Terephthalate by the Two Insect Gut Symbionts Xanthomonas sp. HY-74 and Bacillus sp. HY-75	10.3390/polym15173546	POLYMERS	2023	None
218	Symbiont	Hymenoptera	Apidae	Xylocopinae	Xylocopa appendiculata	Pseudomonadota	Lysobacterales	Xanthomonas	Genus	Xanthomonas	Bacillus sp. HY-75	Bacteria	strains biodegraded polyethylene terephthalate PET powder, broke it into its degradation products	Plastic degradation	None	Biodegradation Potential of Polyethylene Terephthalate by the Two Insect Gut Symbionts Xanthomonas sp. HY-74 and Bacillus sp. HY-75	10.3390/polym15173546	POLYMERS	2023	None
219	Symbiont	Hymenoptera	Vespidae	Eumeninae	Eumenes decorates	Pseudomonadota	Lysobacterales	Xanthomonas	Genus	Xanthomonas	Xanthomonas sp. HY-74	Bacteria	strains biodegraded polyethylene terephthalate PET powder, broke it into its degradation products	Plastic degradation	None	Biodegradation Potential of Polyethylene Terephthalate by the Two Insect Gut Symbionts Xanthomonas sp. HY-74 and Bacillus sp. HY-75	10.3390/polym15173546	POLYMERS	2023	None
220	Symbiont	Hymenoptera	Vespidae	Eumeninae	Eumenes decorates	Pseudomonadota	Lysobacterales	Xanthomonas	Genus	Xanthomonas	Bacillus sp. HY-75	Bacteria	strains biodegraded polyethylene terephthalate PET powder, broke it into its degradation products	Plastic degradation	None	Biodegradation Potential of Polyethylene Terephthalate by the Two Insect Gut Symbionts Xanthomonas sp. HY-74 and Bacillus sp. HY-75	10.3390/polym15173546	POLYMERS	2023	None
221	Symbiont	Hemiptera	Alydidae	None	Riptortus pedestris	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia	Bacteria	symbiont modulates Kr-h1 expression to enhance ovarian development and egg production of R. pedestris by increasing the biosynthesis of the two reproduction-associated proteins, hexamerin-α and vitellogenin	Fertility	None	Burkholderia gut symbiont induces insect host fecundity by modulating Kr-h1 gene expression	10.1002/arch.21987	ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY	2023	None
